"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"220865_s_at",33.9921162790693,1368.10322093023,0.293230057640362,0.770059849916463,0.902453120631563,-4.60321315477821
"209684_at",47.9571162790699,1422.42888372093,0.293011059480374,0.770226666215216,0.902571841463754,-4.60321429273571
"222332_at",3.82245581395348,55.9203302325581,0.292990714734485,0.770242163859208,0.902571841463754,-4.60321439840802
"209711_at",19.7652093023254,786.959418604651,0.292888551620651,0.770319988192499,0.902615570115868,-4.60321492894129
"216646_at",-2.31278837209301,58.4905639534884,-0.292683726205683,0.770476024211877,0.902709301235153,-4.60321599204499
"213787_s_at",2.90189069767445,84.00025,0.292677190243514,0.770481003464138,0.902709301235153,-4.60321602595635
"206343_s_at",-9.47939767441861,210.516736046512,-0.292540903657572,0.770584832037036,0.902783481192496,-4.60321673289737
"201055_s_at",-17.2822093023257,662.314941860465,-0.292462930981468,0.770644236622545,0.902805610885872,-4.60321713720702
"217664_at",-5.99077674418604,108.336509302326,-0.29239901516553,0.770692932811653,0.902815194082749,-4.60321746854795
"204152_s_at",-4.2319930232558,70.9321523255814,-0.29228668063222,0.770778520487565,0.90285744156086,-4.60321805071773
"215439_x_at",15.3799023255815,434.557327906977,0.292245320966085,0.770810033130808,0.90285744156086,-4.60321826500663
"212727_at",-35.8515813953493,1210.59795348837,-0.29204335369738,0.770963921006756,0.90299022611267,-4.60321931098698
"204310_s_at",7.15815813953488,100.249986046512,0.291979267568657,0.771012753006153,0.902999956650695,-4.60321964273594
"214364_at",12.1994604651163,275.059825581395,0.291885716582807,0.771084038134986,0.903035981592573,-4.60322012688281
"203402_at",6.62101395348841,217.911906976744,0.291653713032067,0.771260831537679,0.903195559657037,-4.60322132688522
"205174_s_at",6.99239534883721,102.332104651163,0.291578190169718,0.77131838474795,0.903215490427167,-4.60322171731048
"205963_s_at",21.4586744186047,551.530220930233,0.291318961785299,0.771515942958152,0.903373507208049,-4.60322305665918
"219797_at",-31.258534883721,1502.94196511628,-0.29126764597696,0.77155505257529,0.903373507208049,-4.60322332165056
"204608_at",-15.1578837209303,388.663755813953,-0.291214977030022,0.771595194082275,0.903373507208049,-4.60322359358112
"216132_at",10.8405116279069,278.497927906977,0.291188347491074,0.771615489956056,0.903373507208049,-4.60322373105118
"216634_at",-5.6925465116279,113.333170930233,-0.291056315264114,0.771716121513317,0.903443854979575,-4.60322441245812
"208590_x_at",-2.35623488372094,55.6547058139535,-0.290956471291043,0.771792222609469,0.903485479191321,-4.60322492753987
"204941_s_at",-7.68202093023254,175.78478255814,-0.290615524337323,0.772052109284736,0.90374223319982,-4.60322668511286
"219361_s_at",3.09132093023251,154.771553488372,0.290408763529824,0.772209725305438,0.903879251404164,-4.6032277499598
"65884_at",-19.80721627907,748.578298837209,-0.290171230077432,0.772390811456501,0.904043725795,-4.60322897235836
"203427_at",12.2362651162791,252.470511627907,0.289724154152821,0.772731678748884,0.904304457271937,-4.60323127040545
"213557_at",33.6428139534885,752.059244186046,0.289650351101643,0.772787953230157,0.904304457271937,-4.6032316494264
"214056_at",20.1410651162792,411.905253488372,0.289601101788659,0.772825506277361,0.904304457271937,-4.60323190229632
"213748_at",-41.0491395348831,1457.3761744186,-0.289589371329118,0.772834450938837,0.904304457271937,-4.60323196251989
"222173_s_at",4.4123767441861,169.699127906977,0.289548954991916,0.772865269272252,0.904304457271937,-4.60323216999666
"210560_at",-5.16405372093023,58.5574389534884,-0.289537909843036,0.772873691501176,0.904304457271937,-4.60323222669177
"203276_at",9.70324883720923,400.494026744186,0.289506487020324,0.77289765241413,0.904304457271937,-4.60323238797438
"217068_at",-25.5554325581393,617.329702325581,-0.289344775107849,0.773020966432422,0.904326046129994,-4.60323321771059
"217024_x_at",-6.36161627906975,195.523254651163,-0.289253029479897,0.773090929994284,0.904326046129994,-4.60323368824777
"218484_at",-11.1710953488372,267.837070930233,-0.289219352117559,0.773116612214556,0.904326046129994,-4.60323386093207
"206221_at",1.64278604651162,39.3330488372093,0.289206335595468,0.773126538629392,0.904326046129994,-4.60323392767032
"210411_s_at",-11.9396093023256,276.447830232558,-0.289149362306244,0.773169986970231,0.904326046129994,-4.6032342197483
"208187_s_at",-22.586558139535,753.302325581395,-0.28914443786178,0.773173742429673,0.904326046129994,-4.60323424499114
"210978_s_at",14.009811627907,475.580698837209,0.289086905661119,0.773217617798663,0.904326046129994,-4.60323453987125
"37950_at",15.6759302325581,486.728755813954,0.289056542749134,0.773240773545518,0.904326046129994,-4.60323469547217
"214277_at",-9.63036744186053,301.20036744186,-0.288788634869988,0.773445097731255,0.904512259616477,-4.60323606771498
"202363_at",47.757976744186,762.947174418605,0.288741327913824,0.773481178790646,0.904512259616477,-4.60323630989283
"205589_at",-7.08027441860469,212.372255813954,-0.28860132169822,0.773587964579754,0.904589662821718,-4.60323702639318
"212498_at",49.5895813953491,1253.6378372093,0.288457557749907,0.773697621011844,0.904670414493725,-4.60323776176401
"202171_at",16.0907604651163,411.865612790698,0.288351109078778,0.773778818053359,0.904703805253484,-4.60323830602729
"216528_at",23.7766511627906,662.782790697674,0.288313666805259,0.773807378913348,0.904703805253484,-4.60323849741896
"221083_at",-4.2259325581395,148.107863953488,-0.288243767817839,0.773860698496505,0.904718674952655,-4.60323885465166
"203618_at",-15.5447069767441,663.857725581395,-0.288102215551428,0.773968679178145,0.904775947798001,-4.60323957781842
"221095_s_at",16.2146744186045,466.625360465116,0.288073093259779,0.773990895163375,0.904775947798001,-4.60323972655543
"215751_at",-3.41606976744184,114.646623255814,-0.287956910238479,0.774079527435646,0.904792333518103,-4.60324031979081
"200786_at",44.3679069767441,1332.46802325581,0.28786953936255,0.774146181827856,0.904792333518103,-4.60324076575313
"206552_s_at",-34.853,954.982965116279,-0.287836957807948,0.774171038413045,0.904792333518103,-4.60324093202284
"221632_s_at",-11.9066837209302,424.347318604651,-0.287768668968896,0.774223136978391,0.904792333518103,-4.60324128045262
"217240_at",-11.6384418604652,327.284313953488,-0.287711877325409,0.774266464951363,0.904792333518103,-4.60324157015761
"65591_at",-38.2070232558144,1618.54360465116,-0.287692568547438,0.774281196334653,0.904792333518103,-4.60324166864237
"218104_at",-34.6497906976749,1734.84070930233,-0.287682150684547,0.774289144543226,0.904792333518103,-4.60324172177614
"210697_at",-8.66956976744177,215.280052325581,-0.287563308889116,0.774379815454979,0.904845825534977,-4.60324232776405
"214221_at",30.7278372093017,1351.59610465116,0.287492197689013,0.774434071580375,0.904845825534977,-4.60324269024891
"212301_at",18.7671348837213,694.507786046512,0.287370549879893,0.7745268885152,0.904845825534977,-4.60324331013391
"217349_s_at",-5.97039767441862,134.643919767442,-0.287248168406092,0.774620268543514,0.904845825534977,-4.60324393349376
"213403_at",3.58648837209306,67.3868976744186,0.2871590086345,0.774688301697798,0.904845825534977,-4.60324438746965
"210656_at",-7.72287441860465,174.899834883721,-0.287138161808181,0.774704209073628,0.904845825534977,-4.60324449359544
"209020_at",-20.7668372093023,779.574441860465,-0.287133413556642,0.774707832287117,0.904845825534977,-4.60324451776649
"210524_x_at",-31.6294651162791,1282.24991860465,-0.287110298746393,0.774725470407215,0.904845825534977,-4.60324463542708
"206851_at",-28.6516511627908,804.999593023256,-0.287099862484752,0.774733433999837,0.904845825534977,-4.60324468854737
"212582_at",34.8003604651165,955.556389534884,0.287062568501731,0.774761892096711,0.904845825534977,-4.60324487835699
"213440_at",-18.9082139534885,640.246688372093,-0.287036744221469,0.774781598133436,0.904845825534977,-4.6032450097766
"213401_s_at",-10.2925418604651,157.42303372093,-0.286973192827441,0.774830093670515,0.904855037852318,-4.60324533313908
"220822_at",18.5091860465116,587.962802325581,0.286665275465731,0.775065075488766,0.905082018505197,-4.60324689887553
"220838_at",12.2232186046512,283.425820930233,0.286344483175141,0.775309904885675,0.905261938741584,-4.60324852829904
"212447_at",-50.0345348837211,1979.23568604651,-0.286321465926784,0.775327472575675,0.905261938741584,-4.60324864514234
"219195_at",-4.08848604651162,104.606624418605,-0.286303707198774,0.775341026831357,0.905261938741584,-4.60324873528523
"208366_at",15.8031162790697,522.72323255814,0.286198261637118,0.775421509035874,0.905293574185082,-4.60324927040967
"218080_x_at",-6.87816744186043,149.512069767442,-0.286161751562375,0.775449376227198,0.905293574185082,-4.60324945564846
"207590_s_at",4.03870000000001,113.344168604651,0.286070655216927,0.775518908983623,0.905327318151827,-4.60324991773541
"211105_s_at",19.0759302325581,577.310895348837,0.285748146191642,0.7757650910015,0.905567265062939,-4.60325155248706
"213190_at",4.22174883720932,118.976558139535,0.285694679258075,0.775805906332171,0.905567470445247,-4.6032518233257
"207768_at",-1.17589767441861,25.4646069767442,-0.28550313775558,0.775952129535271,0.905664863714057,-4.60325279317154
"209486_at",3.83605116279068,154.201213953488,0.285434765471057,0.776004327045033,0.905664863714057,-4.6032531392089
"213372_at",18.8467906976744,747.054046511628,0.285425664489223,0.776011275092783,0.905664863714057,-4.60325318526344
"205148_s_at",-39.6547906976741,1403.48955813953,-0.285369745632927,0.776053966149048,0.905667193716439,-4.60325346820268
"220219_s_at",15.7785441860464,485.54451627907,0.285316575604213,0.776094559261114,0.905667193716439,-4.60325373718214
"203550_s_at",-10.2451162790696,488.10176744186,-0.285029227935573,0.7763139480595,0.905875770036125,-4.60325518996818
"221068_at",-3.0091395348837,62.5650697674419,-0.284950686128491,0.776373917577268,0.905898308916283,-4.60325558680981
"221270_s_at",5.96889534883721,101.640040697674,0.284843942094625,0.77645542269257,0.905945972555165,-4.60325612597182
"216746_at",11.8581953488372,193.788869767442,0.284749885703506,0.776527242150138,0.905977593649585,-4.603256600882
