"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2979679","ZBTB2",0.280000000000003,7.284,1.93213954465626,0.0589050445683951,0.114269717158382,-5.16755386429142
"3854877","JUND",-0.2204,9.5802,-1.93205175146674,0.0589161520397359,0.114273972171836,-5.16771357938603
"2844203","CANX",0.115599999999999,11.5194,1.93094840579518,0.0590558984803997,0.114524883952267,-5.16972027386267
"3867065","TMEM143",0.138799999999998,7.279,1.93093560325099,0.0590575216732257,0.114524883952267,-5.16974355250779
"3351806","VPS11",-0.166399999999999,8.2136,-1.9308061941615,0.0590739311702415,0.114543831038117,-5.16997884734742
"2960146","COL9A1",-0.0876000000000001,6.4314,-1.93076384992699,0.0590793014040696,0.114543831038117,-5.17005583573888
"3494502","CLN5",-0.172799999999999,7.5,-1.93061667482899,0.0590979698747359,0.114568381436023,-5.17032341158501
"3940001","SPECC1L",0.166399999999999,8.5824,1.93032529742442,0.0591349446013805,0.114628412073563,-5.17085310661036
"2555630","CCT4",0.231199999999998,8.4292,1.9301117202238,0.059162059320436,0.114669319609494,-5.17124132482989
"3807732","CFAP53",0.110799999999999,5.4538,1.93006324460978,0.0591682150268745,0.114669599700565,-5.17132943355349
"3127610","PEBP4",-0.218400000000002,6.6452,-1.92994102610445,0.0591837374503508,0.114688030841415,-5.17155156804192
"2328633","TMEM39B",0.154799999999999,7.7066,1.92985797697926,0.0591942871322104,0.114696822888171,-5.17170250450249
"3401438","PRMT8",0.0940000000000003,3.9054,1.92979833951489,0.059201863835663,0.114699853192069,-5.17181088831383
"3947123","SREBF2",0.232000000000001,8.174,1.92969562417937,0.0592149153545651,0.114713488910702,-5.17199755412316
"3191724","ABL1",-0.201599999999997,8.7952,-1.92928303273026,0.0592673660407075,0.114803439743353,-5.17274727513395
"2853426","RANBP3L",-0.639599999999998,6.2386,-1.92917051180025,0.0592816771504617,0.114819501809545,-5.17295171320861
"3541029","GARIN2",0.0828000000000007,4.271,1.92881091319594,0.0593274329279817,0.114896457922252,-5.17360499509164
"2396415","MASP2",-0.0924000000000014,5.4922,-1.92807884939498,0.0594206748843627,0.115065353171668,-5.17493460884589
"3430603","ASCL4",-0.152400000000002,5.4606,-1.92791841440523,0.0594411259832972,0.115091962067386,-5.17522594134053
"3619326","PLCB2",0.2156,7.3934,1.92779833689435,0.0594564365349889,0.115091962067386,-5.17544397535376
"3690193","ITFG1",0.191999999999998,8.6636,1.92775047632694,0.0594625399628896,0.115091962067386,-5.17553087621706
"3279575","RSU1",0.159199999999998,9.9144,1.92774941732411,0.0594626750184773,0.115091962067386,-5.17553279903697
"3604287","IL16",-0.1752,7.3308,-1.92730772282739,0.05951902756757,0.115185651808762,-5.1763346994511
"3625674","RFX7",0.1808,8.4104,1.92681369888077,0.0595821104837091,0.115296037693978,-5.17723141657424
"3815809","NDUFS7",0.142800000000001,8.1342,1.92667155261049,0.0596002720044131,0.115319483594298,-5.17748939361403
"2623821","PHF7",-0.121200000000002,7.3166,-1.92647373533076,0.0596255542792913,0.115348774597772,-5.1778483789759
"2688759","ATG3",0.152400000000002,9.261,1.92642792388161,0.0596314105726089,0.115348774597772,-5.17793150994479
"3847486","FUT3",0.238399999999999,6.2892,1.92641118268505,0.0596335508011759,0.115348774597772,-5.17796188864734
"2565559","ANKRD23",0.0699999999999985,7.477,1.92621053380912,0.0596592072665519,0.115386701593506,-5.17832596989047
"2962876","SNAP91",-0.217200000000001,4.9598,-1.92602549664438,0.0596828758567428,0.115420776545339,-5.17866169436983
"3940470","CRYBB2",0.125600000000001,7.0292,1.92544431585213,0.0597572683760315,0.115552929705137,-5.17971598590997
"2687840","IFT57",-0.2348,7.345,-1.92538719006511,0.0597645848845795,0.11555536400347,-5.17981960016924
"3721718","ATP6V0A1",0.194000000000001,5.3206,1.92512626804406,0.0597980127632015,0.115608279261258,-5.18029282453381
